url,name,email,phone,country,docNumber,docCounter
https://ted.europa.eu/udl?uri=TED:NOTICE:286126-2020:TEXT:EN:HTML&src=0, PHUP Wiesław Zajączek,,, Poland,2020/S 118-286126,1
https://ted.europa.eu/udl?uri=TED:NOTICE:286126-2020:TEXT:EN:HTML&src=0, PHUP Wiesław Zajączek,,, Poland,2020/S 118-286126,1
https://ted.europa.eu/udl?uri=TED:NOTICE:286126-2020:TEXT:EN:HTML&src=0, Cadabra Tomasz Przybył,,, Poland,2020/S 118-286126,1
https://ted.europa.eu/udl?uri=TED:NOTICE:250531-2020:TEXT:EN:HTML&src=0, A. Zapalskio „Azas“,,, Lithuania,2020/S 104-250531,2
https://ted.europa.eu/udl?uri=TED:NOTICE:250531-2020:TEXT:EN:HTML&src=0, UAB „Skirgesa“,,, Lithuania,2020/S 104-250531,2
https://ted.europa.eu/udl?uri=TED:NOTICE:250531-2020:TEXT:EN:HTML&src=0, UAB „Barameda“,,, Lithuania,2020/S 104-250531,2
https://ted.europa.eu/udl?uri=TED:NOTICE:250531-2020:TEXT:EN:HTML&src=0, UAB „Barameda“,,, Lithuania,2020/S 104-250531,2
https://ted.europa.eu/udl?uri=TED:NOTICE:250531-2020:TEXT:EN:HTML&src=0, UAB „OneMed“,,, Lithuania,2020/S 104-250531,2
https://ted.europa.eu/udl?uri=TED:NOTICE:250531-2020:TEXT:EN:HTML&src=0, UAB „Gapro Medica“,,, Lithuania,2020/S 104-250531,2
https://ted.europa.eu/udl?uri=TED:NOTICE:250531-2020:TEXT:EN:HTML&src=0, UAB „Renalfarma“,,, Lithuania,2020/S 104-250531,2
https://ted.europa.eu/udl?uri=TED:NOTICE:250531-2020:TEXT:EN:HTML&src=0, UAB „Baltic Medica“,,, Lithuania,2020/S 104-250531,2
https://ted.europa.eu/udl?uri=TED:NOTICE:250531-2020:TEXT:EN:HTML&src=0, UAB „Anmeda Techna“,,, Lithuania,2020/S 104-250531,2
https://ted.europa.eu/udl?uri=TED:NOTICE:250531-2020:TEXT:EN:HTML&src=0, UAB „Biomedika“,,, Lithuania,2020/S 104-250531,2
https://ted.europa.eu/udl?uri=TED:NOTICE:250531-2020:TEXT:EN:HTML&src=0, UAB „Kavita“,,, Lithuania,2020/S 104-250531,2
https://ted.europa.eu/udl?uri=TED:NOTICE:250531-2020:TEXT:EN:HTML&src=0, UAB „Nedus“,,, Lithuania,2020/S 104-250531,2
https://ted.europa.eu/udl?uri=TED:NOTICE:250531-2020:TEXT:EN:HTML&src=0, UAB „DM Inter“,,, Lithuania,2020/S 104-250531,2
https://ted.europa.eu/udl?uri=TED:NOTICE:250531-2020:TEXT:EN:HTML&src=0, UAB „B. Braun Medical“,,, Lithuania,2020/S 104-250531,2
https://ted.europa.eu/udl?uri=TED:NOTICE:250531-2020:TEXT:EN:HTML&src=0, UAB „Metras“,,, Lithuania,2020/S 104-250531,2
https://ted.europa.eu/udl?uri=TED:NOTICE:250531-2020:TEXT:EN:HTML&src=0, UAB „Stelsa“,,, Lithuania,2020/S 104-250531,2
https://ted.europa.eu/udl?uri=TED:NOTICE:250531-2020:TEXT:EN:HTML&src=0, UAB „Hydropool LT“,,, Lithuania,2020/S 104-250531,2
https://ted.europa.eu/udl?uri=TED:NOTICE:250531-2020:TEXT:EN:HTML&src=0, UAB „Optika ir technologija“,,, Lithuania,2020/S 104-250531,2
